DEFECTID,CLASSNUMBER,a_6_FINEBINNUMBER,g_6_SIZE_DW1O,g_6_SIZE_DW2O,i_6_SIZE_DNO,i_6_SIZE_DW1O,i_6_SIZE_DW2O,j_6_SIZE_DNO,j_6_SIZE_DW1O,j_6_SIZE_DW2O,k_6_SIZE_DW1O,k_6_SIZE_DW2O,ClassNum,Flag_ReviewSample,RoughBin,Confidence,RBBLabel
143805,2,0,0.0851,0,1.164,0.1496,0.2098,0.1687,0.2281,0.3198,0.5353,0.146,2,1,1,0,1
143939,3,90,0.0968,0,0.3681,0.1267,0.2212,0,0.175,0.2516,0.2544,0,3,1,3,0,2
144627,2,1,0.1013,0.1562,1.0129,0.1615,0.2215,0.208,0.2675,0.3929,0.5505,0,2,1,1,0,1
145088,3,0,0.0969,0,0.3705,0.1158,0.215,0,0.1781,0.2695,0.2382,0.1463,3,1,3,0,2
146551,10,0,0.0822,0,0.1953,0.091,0.1794,0,0.1311,0.2122,0.18,0,10,1,2,0,2
147435,10,20,0.1088,0,0.6256,0.1386,0.3239,0,0.2223,0.4557,0.4061,0.2466,10,1,2,0,2
148093,3,0,0.1311,0,0.4776,0.1862,0.304,0,0.2065,0.3121,0.3185,0.1582,3,1,3,0,2
148207,3,5,0.1733,0.1757,1.6191,0.2336,0.7227,0.2291,0.4986,1.0225,0.7948,0.1811,3,1,3,0,3
148591,75,0,0.1791,0.2156,2.8872,0.4382,0.401,1.1174,1.0865,1.5714,1.7749,0.19,75,1,1,0,1
148795,2,90,0.0828,0,0.3266,0.104,0.1686,0,0.1678,0.2144,0.2154,0,2,1,1,0,1
148798,10,20,0.1046,0,0.2439,0.1601,0.4561,0.1539,0.1997,0.3953,0.2876,0.2382,10,1,2,0,2
149004,2,0,0.0811,0,0.4062,0.1044,0.1707,0,0.1757,0.2372,0.2172,0,2,1,1,0,1
149088,75,90,0.1874,0.2255,0,200000,0.2741,0.2973,0.2003,0.2947,0.2872,0.159,75,1,1,0,2
149409,10,0,0.2288,0.1737,0.5881,0.209,0.7448,0.2082,0.2927,0.9006,0.6487,0.355,10,1,2,0,2
149886,10,0,0.0806,0,0.2617,0.1063,0.1888,0,0.157,0.2227,0.2009,0,10,1,2,0,2
151770,10,0,0.1057,0,0.2765,0.1247,0.3029,0.1715,0.1897,0.3716,0.2518,0.2444,10,1,2,0,2
154337,10,0,0,0,0.1852,0.1015,0.1788,0,0.1484,0.2101,0.1813,0,10,1,2,0,2
154372,10,10,0.092,0,0.2065,0.159,0.5934,0,0.2046,0.6427,0.2775,0.3979,10,1,2,0,2
155277,10,0,0.0997,0,0.213,0.1561,0.4402,0.1791,0.1892,0.3675,0.2487,0.2326,10,1,2,0,2
155621,75,0,0.085,0.141,1.3668,0.1526,0.1972,0.1355,0.2305,0.2715,0.3016,0,75,1,1,0,1
156384,10,0,0.0894,0.172,0.4991,0.1576,0.1984,0.1824,0.2097,0.2527,0.2758,0.1588,10,1,2,0,1
156945,75,0,0.0901,0,0.8805,0.1099,0.2038,0,0.2052,0.2955,0.3386,0,75,1,1,0,1
157537,10,90,0.1006,0,0.202,0.1485,0.2602,0.2271,0.18,0.2878,0.2334,0.1765,10,1,2,0,2
158047,2,20,0.121,0,0.956,0.1724,0.3645,0.1713,0.5798,0.4439,0.5922,0.1687,2,1,1,0,1
159405,10,0,0.1075,0.1474,0.248,0.1507,0.2026,0.136,0.1731,0.2224,0.2275,0.1314,10,1,2,0,2
164072,2,0,0.0996,0,1.3967,0.1303,0.2435,0.2306,0.2572,0.4548,0.4569,0.1616,2,1,1,0,1
164437,2,0,0.122,0.1597,1.9907,0.1754,0.2689,0.3062,0.4935,0.697,0.8269,0.1602,2,1,1,0,1
166483,10,0,0.1574,0.1549,1.5518,0.1711,0.8405,0.2512,0.2216,0.6708,0.4782,0.243,10,1,2,0,2
169081,3,20,0.1115,0,0.309,0.1804,0.2407,0,0.2098,0.3297,0.2926,0,3,1,3,0,2
169291,70,20,0,0,0,0,0.124,0,0.1042,0.1755,0.1483,0,70,1,1,0,2
169475,10,0,0.0947,0,0.4081,0.1412,0.2421,0,0.1795,0.3215,0.2714,0.2012,10,1,2,0,2
169811,75,20,0.5988,0.2327,4.2107,200000,1.0777,0.281,0.9684,2.1826,1.9417,0.2136,75,1,1,0,1
170006,10,0,0,0,0.1883,0.0964,0.168,0,0.144,0.1996,0.1864,0,10,1,2,0,2
170069,3,0,0.1014,0,0.695,0.1872,0.2589,0,0.224,0.3041,0.3914,0,3,1,3,0,3
170365,2,0,0.1075,0,0.7866,0.1507,0.2104,0.1715,0.2225,0.3067,0.2921,0,2,1,1,0,1
171572,75,90,0,0,0.2547,0.0916,0.1557,0,0.1458,0.2047,0.1819,0,75,1,1,0,2
172814,2,20,0,0,0.1892,0.0916,0.1673,0,0.1058,0.1885,0.1642,0,2,1,1,0,2
173330,75,0,0,0.1575,0.6838,0.1062,0.1733,0.1442,0.1986,0.2607,0.2682,0,75,1,1,0,1
173632,70,90,0.2383,0.2376,2.5317,0.378,0.979,0.5064,0.7686,1.5318,1.3937,0.2286,70,1,1,0,1
174095,10,0,0.0941,0,0.285,0.1213,0.2134,0,0.1628,0.2454,0.2188,0,10,1,2,0,2
174442,2,20,0.1686,0.1755,1.9878,0.1901,0.2941,0.2836,0.5162,0.5027,0.9159,0.196,2,1,1,0,1
175336,3,90,0.149,0.1567,1.2051,0.1991,0.3764,0.2173,0.302,0.6061,0.5231,0.1849,3,1,3,0,3
175686,75,0,0,0,0.5575,0.0929,0.1425,0.179,0.1941,0.2371,0.2346,0,75,1,1,0,1
176177,3,90,0,0,0.2414,0.1072,0.175,0,0.148,0.2066,0.1861,0,3,1,3,0,2
176300,10,20,0.1099,0,0.3103,0.1557,0.2617,0.1939,0.2099,0.3147,0.2887,0.1708,10,1,2,0,2
176479,10,20,0,0,0.2963,0.1455,0.1867,0.214,0.2088,0.2486,0.2245,0.1744,10,1,2,0,1
176599,75,0,0.1034,0.1887,2.7828,0.1265,0.181,0.3958,0.4383,0.7612,0.5007,0,75,1,1,0,1
176870,3,20,0.0831,0,0.2629,0.1082,0.1878,0,0.157,0.2199,0.1949,0,3,1,3,0,2
177063,10,0,0.1123,0.1418,0.567,0.1603,0.2951,0.2146,0.2318,0.5476,0.3696,0.2233,10,1,2,0,2
177209,2,20,0.112,0.1617,0.8927,0.225,0.5053,0.1928,0.4918,0.4599,0.798,0.2025,2,1,1,0,1
178393,3,90,0.1578,0.1776,0.8859,0.2076,0.4516,0.2684,0.3133,0.7708,0.5261,0.1705,3,1,3,0,3
178474,10,20,0.1067,0.1599,1.0683,0.1752,0.2722,0.3263,0.3175,0.4897,0.5671,0.199,10,1,2,0,1
180045,10,0,0.1316,0.1539,0.6074,0,0.2717,0.1495,0.1834,0.305,0.2491,0,10,1,2,0,2
180100,10,0,0.0925,0,0.4402,0.1561,0.4007,0.146,0.1761,0.3132,0.2614,0.1984,10,1,2,0,2
180850,10,0,0.0847,0,0.272,0.095,0.2024,0,0.1335,0.2165,0.1895,0,10,1,2,0,2
181144,10,20,0.0945,0,0.2822,0.1562,0.2659,0.1926,0.1965,0.3226,0.2646,0.1948,10,1,2,0,2
181435,75,20,0.2248,0.1621,1.7106,0.292,0.4331,0.252,0.5908,0.7614,0.7913,0.1793,75,1,1,0,1
181570,3,1,0,0,0.2115,0,0.1509,0,0.1081,0.174,0.1518,0,3,1,3,0,2
181991,10,20,0.1312,0,0.5157,0.1766,0.2636,0.2309,0.2133,0.3159,0.3976,0.1773,10,1,2,0,2
182119,75,0,0.0851,0,0.501,0.1293,0.2217,0,0.2045,0.3205,0.2782,0,75,1,1,0,2
182424,10,0,0.0863,0,0.2402,0.0953,0.191,0,0.1096,0.212,0.1688,0,10,1,2,0,2
182730,2,20,0.1133,0.1449,1.1594,0.1622,0.2214,0.2382,0.2612,0.4142,0.5175,0,2,1,1,0,1
183235,3,20,0.1454,0,200000,0.1709,1.3405,0.2133,0.5497,0.9708,0.7931,0.2074,3,1,3,0,3
183681,10,20,0,0,0.1671,0.0969,0.1697,0,0.1403,0.2057,0.1619,0.15,10,1,2,0,2
183783,10,0,0.096,0,0,0.1091,0.2522,0,0.1717,0.3087,0.2234,0.1794,10,1,2,0,2
184298,2,0,0.1562,0.1682,1.8098,0.225,0.5877,0.2679,0.5499,1.012,0.8112,0.1898,2,1,1,0,1
184546,2,0,0.2014,0.1745,1.8969,0.1865,0.3759,0.2832,0.391,0.8156,0.9055,0.2126,2,1,1,0,1
185025,10,0,0.1191,0,0.7662,0.1241,0.3085,0,0.2035,0.3999,0.2988,0.1824,10,1,2,0,2
185115,2,20,0.0981,0.1415,0.7546,0.1503,0.2409,0.2417,0.2413,0.3783,0.4756,0.1498,2,1,1,0,1
186027,10,20,0.0895,0,0,0,0.1354,0,0.1196,0,0.1607,0,10,1,2,0,2
186853,75,0,0,0,0,0.1764,0.2493,0.163,0.5863,0.5365,0,0.1653,75,1,1,0,1
187427,2,0,0.1004,0,0.7844,0.1643,0.23,0,0.4514,0.3133,0.453,0,2,1,1,0,1
188163,70,0,0.1538,0.1791,1.6272,0.1766,0.2937,0.3288,0.3103,0.933,0.7707,0.1962,70,1,1,0,1
188433,3,0,0.1239,0,0.6556,0.1658,0.3437,0.1667,0.2278,0.4489,0.4255,0.1669,3,1,3,0,3
188602,3,0,0.0981,0,0.2397,0.1311,0.2358,0.1795,0.1887,0.2959,0.2507,0.14,3,1,3,0,3
188676,3,20,0.2007,0.2042,2.0619,0.5211,1.2808,0.2812,0.5809,1.2835,0.8474,0.2499,3,1,3,0,3
189230,10,1,0.121,0,0.2464,0.1685,0.2523,0.1785,0.202,0.2909,0.2708,0.1837,10,1,2,0,2
189384,3,0,0.1053,0,0.386,0.1713,0.261,0.2002,0.2168,0.3358,0.3514,0.1541,3,1,3,0,3
191065,75,0,0.1521,0.1721,1.6942,0.2083,0.4866,0.3059,0.6204,1.3016,0.8293,0.2403,75,1,1,0,1
191152,3,20,0.1443,0.1726,2.6862,0.2395,0.4894,0.3548,0.6343,1.1983,0.9686,0.1969,3,1,3,0,1
191283,2,90,0.1425,0.1713,1.3091,0.1203,0.2871,0.3052,0.3599,0.7635,0.4265,0.207,2,1,1,0,1
191946,3,20,0.128,0.1658,2.041,0.2078,0.2892,0.3519,0.5222,0.7474,0.6935,0.169,3,1,3,0,1
191998,3,1,0.0994,0,0.6673,0.1664,0.2458,0.1919,0.2269,0.3872,0.4107,0.1404,3,1,3,0,3
192217,70,0,0.0886,0,0.321,0.1401,0.2046,0,0.1625,0.2166,0.2292,0,70,1,1,0,2
193044,2,0,0.1268,0.1672,3.6152,0.1494,0.3169,0.2605,0.656,1.2145,0.8558,0.1528,2,1,1,0,1
193136,10,0,0,0.1603,0.2252,0.1568,0.2066,0.1731,0.2049,0.2566,0.2436,0.1834,10,1,2,0,1
